Question,A,B,C,D
"Giải thích nguyên lý tính toán dựa trên DNA và các ứng dụng nổi bật trong y sinh học, đồng thời nêu ưu thế so với máy tính silicon.","Dữ liệu mã hóa bằng A/T/C/G, phản ứng hóa học như cổng logic, tính toán song song, tự sửa lỗi; ứng dụng chẩn đoán bệnh, điều trị chính xác, lưu trữ dữ liệu y tế; ưu thế: mật độ lưu trữ khổng lồ, tiêu thụ năng lượng thấp, tự phục hồi","Chỉ dùng DNA lưu trữ ảnh, không tính toán","Máy tính DNA chỉ cho nghiên cứu gen, không áp dụng y học","Ưu điểm chính là rẻ hơn silicon, không liên quan tự sửa lỗi"
Thách thức lớn nhất của biocomputing hiện nay là gì?,Tốc độ tính toán chậm và chi phí tổng hợp DNA cao,Không thể nhân bản DNA,Thiếu enzyme trong tự nhiên,Không thể lưu trữ dữ liệu số
Xu hướng nào cho phép kết hợp ưu điểm của điện tử và DNA?,Tăng băng thông Wi-Fi,Hybrid Bio-Electronic Systems,Blockchain,Lưới điện thông minh
Hiện tượng nào đặc trưng của vật liệu siêu dẫn?,Tăng điện trở,Điện trở bằng 0 và hiệu ứng Meissner,Tự phát sáng,Giảm nhiệt độ phòng
Hợp chất nào đã cho thấy siêu dẫn gần nhiệt độ phòng khi nén áp suất cao?,Silicon-carbide,Đồng-oxit,Hydride giàu hydro,Thép carbon
Tài liệu Public_089 trình bày những tiến bộ nào trong việc đạt siêu dẫn nhiệt độ phòng?,"Electron ghép cặp Cooper, hiệu ứng Meissner, hydride giàu hydro, truyền điện không tổn thất, maglev, MRI, qubit siêu dẫn",Chỉ áp dụng ở nhiệt độ gần 0 K,Ứng dụng duy nhất là MRI,"Không liên quan truyền tải điện, chỉ cho từ trường nghiên cứu"
Thách thức lớn nhất để thương mại hóa siêu dẫn nhiệt độ phòng?,Giảm giá điện,Tăng nhu cầu năng lượng,Dễ sản xuất hàng loạt,Duy trì trạng thái siêu dẫn ở áp suất và nhiệt độ bình thường
Công nghệ nào hỗ trợ khám phá vật liệu siêu dẫn mới nhanh hơn?,5G,Trí tuệ nhân tạo và tính toán lượng tử,Blockchain,Thực tế ảo
Điểm khác biệt cốt lõi của máy tính neuromorphic so với kiến trúc Von Neumann là gì?,Tăng xung nhịp CPU,"Xử lý và lưu trữ dữ liệu ngay tại neuron, mô phỏng não người",Dùng nhiều GPU,Tách biệt hoàn toàn bộ nhớ
"Trong các mạng thần kinh nhân tạo, thành phần nào đóng vai trò tương tự synapse sinh học?",Transistor CMOS,Tụ điện,Memristor hoặc synapse điện tử,Đi-ốt
"Mô tả kiến trúc và nguyên lý của máy tính neuromorphic lấy cảm hứng từ não người, so sánh với kiến trúc Von Neumann và nêu ứng dụng AI.","Chip neuron–synapse (memristor), xử lý song song sự kiện, học Hebbian/STDP, năng lượng mW cho hàng triệu neuron; ứng dụng AI biên, IoT, nhận dạng mẫu thời gian thực","Giống hệt máy tính Von Neumann, chỉ khác tốc độ",Chỉ dùng cho xử lý ảnh tĩnh,Tiêu thụ năng lượng cao như siêu máy tính
Ứng dụng nào nổi bật của chip neuromorphic trong y tế?,Giao diện não–máy (BCI) và cấy ghép thần kinh,Tăng tốc Wi-Fi,Phát sóng truyền hình,Blockchain
Thách thức lớn nhất trong thương mại hóa chip neuromorphic hiện nay là gì?,Chuẩn hóa phần mềm và công cụ lập trình cho mạng spiking,Thiếu điện năng,Không thể sản xuất memristor,Thiếu dữ liệu huấn luyện
Điểm khác biệt lớn nhất của pin thể rắn so với pin lithium-ion truyền thống là gì?,Dùng nhiều cell hơn,Sử dụng chất điện phân rắn thay cho dung dịch lỏng,Không dùng cực dương,Chỉ hoạt động dưới 0°C
Ưu điểm quan trọng nhất giúp pin thể rắn an toàn hơn?,Có thêm lớp nhôm,Tăng dung lượng điện áp,Không chứa dung dịch dễ cháy,Sử dụng nhiều cobalt
"Dựa trên tài liệu Public_091, hãy phân tích cấu trúc, nguyên lý, ưu điểm của pin thể rắn so với lithium-ion, nêu ứng dụng thực tế và thách thức.","Cực dương oxit Li, cực âm lithium kim loại, điện phân rắn; ưu điểm: 400–500 Wh/kg, an toàn, sạc nhanh, tuổi thọ dài; ứng dụng EV, lưu trữ năng lượng, hàng không; thách thức: chi phí, giao diện điện cực, dendrite","Giống pin lithium-ion, chỉ khác tên","Chỉ dùng cho thiết bị nhỏ, không cho EV",Không giải quyết vấn đề an toàn cháy nổ
Thách thức chính cản trở thương mại hóa pin thể rắn là gì?,Thiếu nguồn lithium toàn cầu,Nhu cầu thị trường thấp,Sạc chậm,Chi phí sản xuất và khó khăn giao diện điện cực – điện phân
"Theo tài liệu Public_091, những xu hướng nghiên cứu nào giúp tăng tính ổn định của pin thể rắn?",Chất điện phân lai gốm–polymer,Dùng dầu cách điện,Giảm điện áp,Hạn chế năng lượng tái tạo
Điểm đặc trưng của siêu vật liệu so với vật liệu tự nhiên là gì?,Có khối lượng nhẹ hơn,Cấu trúc nhân tạo điều khiển sóng ngoài khả năng tự nhiên,Khó sản xuất hơn,Tự nhiên tồn tại trong đá quý
Công nghệ nào trong mạng 6G tận dụng siêu vật liệu để tăng vùng phủ sóng?,Anten MIMO truyền thống,Blockchain,Bề mặt phản xạ thông minh (RIS),Tháp truyền thống
"Giải thích cấu trúc, nguyên lý và ứng dụng siêu vật liệu trong điều khiển sóng điện từ và mạng 6G.","Unit cell nhỏ hơn bước sóng, khúc xạ âm, metasurface tái cấu hình, tăng tốc terabit/giây, RIS tăng phủ sóng, bảo mật tín hiệu","Siêu vật liệu chỉ để cách âm, không liên quan sóng điện từ",6G không cần siêu vật liệu,Ứng dụng duy nhất là kính tiềm vọng quang học
Thách thức lớn nhất hiện nay khi thương mại hóa siêu vật liệu?,Tốc độ sóng chậm,Thiếu người dùng,Không có dữ liệu vệ tinh,Chi phí cao và khó sản xuất quy mô lớn
"Theo tài liệu Public_092, xu hướng nào hứa hẹn tối ưu hoạt động RIS trong 6G?",AI điều khiển metasurface theo thời gian thực,Lắp đặt nhiều trạm phát,Dùng sợi quang ngầm,Giảm tốc độ truyền
Điểm khác biệt chính của máy tính quang học so với điện tử?,Sử dụng electron truyền tải,Truyền và xử lý dữ liệu bằng photon,Chỉ hoạt động trong chân không,Phụ thuộc CPU truyền thống
Thành phần nào cho phép thực hiện phép nhân–cộng ma trận bằng ánh sáng?,Tụ điện,GPU,Cáp đồng,Giao thoa kế Mach–Zehnder và mạch quang tích hợp
"Trình bày nguyên lý tính toán bằng photon, lợi ích và ứng dụng trong AI thế hệ mới.","Truyền và xử lý thông tin bằng photon qua mạch quang, tính toán song song đa bước sóng, tốc độ gần ánh sáng, giảm năng lượng; ứng dụng: huấn luyện mô hình lớn, edge AI, mạng lượng tử","Máy tính quang học chỉ truyền dữ liệu, không tính toán","Chỉ dùng cho chiếu sáng, không liên quan AI","Tốc độ thấp, tiêu tốn năng lượng cao"
Thách thức quan trọng nhất trong sản xuất chip quang?,Đòi hỏi công nghệ in nano chính xác và chi phí cao,Thiếu vật liệu dẫn điện,Không thể hoạt động trên silicon,Nhiệt lượng quá lớn
Ứng dụng nào hưởng lợi trực tiếp từ suy luận thời gian thực của photonic computing?,Robot tự hành và AI biên,Lưu trữ băng từ,Máy in 3D,Quét mã QR
Công cụ chính để mô phỏng sự hình thành vũ trụ được thảo luận trong tài liệu Public_094 là gì?,Kính viễn vọng Hubble,Siêu máy tính và mô hình số quy mô lớn,Máy gia tốc hạt nhỏ,Tàu vũ trụ
"Theo tài liệu Public_094, mô phỏng N-body chủ yếu tái hiện điều gì?",Chuyển động hành tinh,Địa chất Mặt Trăng,Tương tác hấp dẫn của hạt đại diện cho vật chất tối và thiên hà,Phản ứng hóa học trong khí quyển
"Mô tả mục tiêu, công nghệ mô phỏng và ứng dụng của vũ trụ học tính toán trong nghiên cứu vũ trụ.","Dùng phương trình Einstein, mô phỏng N-body, thủy động lực học, AI tăng tốc, mô phỏng hàng tỷ hạt; ứng dụng: giải mã vật chất tối, dự báo quan sát, ước lượng tham số vũ trụ học","Chỉ nghiên cứu kính thiên văn quang học, không mô phỏng",Ứng dụng duy nhất là dự báo thời tiết,Không liên quan đến AI
Thách thức lớn nhất hiện nay của vũ trụ học tính toán là gì?,Khối lượng dữ liệu khổng lồ và chi phí tính toán cao,Thiếu kính thiên văn,Ít nhà khoa học,Không có thuật toán
Công nghệ tương lai nào hứa hẹn tăng độ phân giải mô phỏng vũ trụ?,4G,Siêu máy tính exascale và máy tính lượng tử,Blockchain,Máy in 3D
Thách thức lớn nhất của Sao Hỏa khiến nước khó tồn tại ở dạng lỏng?,Nhiệt độ cao,Áp suất khí quyển cực thấp,Từ trường mạnh,Lõi hành tinh nóng
Biện pháp nào có thể tạo từ trường nhân tạo cho Sao Hỏa?,Dùng khinh khí cầu,Khoan sâu vào lõi,Bơm khí helium,Đặt nam châm khổng lồ tại điểm L1
"Phân tích các phương pháp cải tạo khí hậu Sao Hỏa, công nghệ hỗ trợ và thách thức đạo đức – kỹ thuật.","Tăng áp suất CO₂, gương không gian, khí nhà kính nhân tạo, từ trường nhân tạo, vi khuẩn lam; công nghệ: robot, AI, in 3D, lò phản ứng hạt nhân; thách thức: chi phí, bức xạ, chính trị quốc tế",Terraforming chỉ cần xây nhà kính nhỏ,"Chỉ khai thác băng, không cải tạo khí hậu","Không cần công nghệ AI, chỉ cần vận chuyển người"
"Theo tài liệu Public_095, công nghệ nào giúp xây dựng cơ sở hạ tầng tự động trên Sao Hỏa?",Robot tự động và in 3D quy mô lớn,Đào hầm thủ công,Khinh khí cầu,Tàu ngầm
Public_095 thảo luận về những vấn đề đạo đức nào liên quan đến việc terraform Sao Hỏa?,Khả năng phá hủy sự sống bản địa (nếu tồn tại),Thiếu tài nguyên,Chi phí phóng tên lửa,Mất liên lạc với Trái Đất
Điều kiện cần thiết để quá trình nhiệt hạch xảy ra là gì?,Hai hạt nhân nặng tách ra,Hai hạt nhân nhẹ hợp nhất thành hạt nhân nặng,Electron va chạm proton,Phản ứng phân rã phóng xạ
Lò phản ứng Tokamak là gì?,Tokamak,Stellarator,Lò phản ứng nước áp lực,Magnetron
"Phân tích nguyên lý hoạt động, nhiên liệu, ưu điểm và các công nghệ lò phản ứng nhiệt hạch, đồng thời nêu các thách thức kỹ thuật – kinh tế trong thương mại hóa.","Phản ứng Deuterium–Tritium >100 triệu °C, giam giữ từ trường (tokamak, stellarator) hoặc laser; nhiên liệu deuterium từ nước biển, tritium từ lithium; ưu điểm: sạch, không CO₂, ít phóng xạ, an toàn tự dừng; thách thức: giam giữ plasma, vật liệu chịu nhiệt, đạt breakeven kinh tế","Nhiệt hạch tương tự phân hạch, tạo nhiều chất thải phóng xạ","Chỉ cần nhiệt độ bằng lõi Mặt Trời, không cần từ trường","Chủ yếu tạo ra CO₂, không phù hợp năng lượng sạch"
Dự án quốc tế nào đang xây dựng lò phản ứng 500 MW ở Pháp?,NIF,Wendelstein 7-X,SPARC,ITER
"Theo tài liệu Public_096, thách thức kỹ thuật trọng yếu của nhiệt hạch là gì?",Thiếu nguồn nhiên liệu,Giam giữ plasma ổn định ở nhiệt độ hàng trăm triệu °C,Nhiệt độ quá thấp,Áp suất khí quyển cao
Sản phẩm phụ duy nhất của pin nhiên liệu hydro là gì?,CO₂,Nước tinh khiết,Methane,Nitơ
Ưu điểm lớn của hydro so với pin lithium-ion cho xe tải đường dài?,Tốc độ chậm hơn,Dễ cháy,Giảm hiệu suất lạnh,Mật độ năng lượng cao và nạp nhiên liệu nhanh
"Giải thích nguyên lý pin nhiên liệu hydro và ứng dụng trong giao thông, đồng thời nêu lợi ích và thách thức hạ tầng.","H₂ + O₂ → điện + nước; ưu điểm: mật độ năng lượng cao, nạp nhanh, không CO₂; ứng dụng: xe hơi, xe tải, tàu biển, hàng không; thách thức: chi phí hydro xanh, hạ tầng trạm nạp, an toàn rò rỉ","Chỉ dùng trong phòng thí nghiệm, không áp dụng giao thông",Phát thải CO₂ nhiều như xăng,"Nạp chậm, hiệu suất thấp hơn pin lithium-ion"
Thách thức lớn nhất để triển khai đại trà giao thông hydro?,Chi phí sản xuất và hạ tầng trạm nạp còn cao,Nhiệt độ thấp,Khó lưu trữ CO₂,Thiếu pin lithium
Hãng xe nào đã thương mại hóa xe hơi chạy pin nhiên liệu hydro?,Tesla,Toyota,Ford,BMW
Cơ chế lưu trữ năng lượng của siêu tụ điện dựa trên gì?,Phản ứng hóa học,Tích tụ ion ở bề mặt điện cực tạo điện trường,Phóng xạ,Đốt cháy nhiên liệu
Ưu điểm nổi bật giúp siêu tụ phù hợp cho xe buýt điện đô thị?,Chi phí thấp hơn pin,Tự sản sinh điện,Tăng nhiệt lượng,Sạc/xả cực nhanh và tuổi thọ cao
"Trình bày cơ chế hoạt động, ưu điểm, và ứng dụng của siêu tụ điện trong giao thông bền vững, đồng thời so sánh với pin truyền thống.","Lưu trữ năng lượng qua điện dung hai lớp và giả điện dung; sạc/xả cực nhanh, tuổi thọ >1 triệu chu kỳ, công suất cao, hoạt động -40→65 °C; ứng dụng: xe buýt điện, tàu điện, xe hybrid, máy bay nhỏ; kết hợp pin để giảm tải và tăng tuổi thọ",Chỉ hoạt động như pin lithium-ion,"Không tái chế được, tuổi thọ thấp",Dễ cháy nổ do phản ứng hóa học
Ứng dụng nào tận dụng siêu tụ để thu hồi năng lượng phanh?,Tàu điện và metro,Đèn LED,Máy tính xách tay,Quạt điện
Hạn chế chính của siêu tụ điện so với pin lithium-ion là gì?,Không thể sạc nhanh,Mật độ năng lượng thấp hơn,Dễ cháy nổ,Tuổi thọ ngắn
Ưu điểm lớn nhất của pin natri-ion so với pin lithium-ion là gì?,Mật độ năng lượng cao hơn,Nguồn nguyên liệu dồi dào và chi phí thấp,Dễ cháy hơn,Không cần điện cực
Thách thức kỹ thuật chính của pin natri-ion hiện nay?,Thiếu nguồn natri,Khó sản xuất cực âm,Mật độ năng lượng thấp và vật liệu điện cực cần cải tiến,Không thể tái chế
"Mô tả cấu trúc, cơ chế và lợi ích chiến lược của pin natri-ion, nêu ứng dụng thực tế và các thách thức hiện nay.","Hoạt động tương tự pin lithium-ion nhưng dùng Na⁺; ưu điểm: nguyên liệu rẻ, dồi dào, ổn định nhiệt độ thấp, bền vững chuỗi cung ứng; ứng dụng: lưu trữ năng lượng tái tạo, xe điện đô thị, thiết bị IoT; thách thức: mật độ năng lượng thấp hơn, vật liệu điện cực, chuẩn hóa công nghiệp","Giống pin lithium-ion hoàn toàn, không khác biệt",Không phù hợp lưu trữ năng lượng lưới điện,Giá cao hơn lithium-ion
Công ty nào công bố pin natri-ion thương mại đầu tiên?,Tesla,Samsung SDI,Panasonic,CATL
Lợi ích xã hội quan trọng khi phát triển pin natri-ion?,"Giảm phụ thuộc vào lithium và cobalt, ổn định chuỗi cung ứng",Tăng giá thành năng lượng,Giảm tuổi thọ thiết bị,Tăng phát thải CO₂
Điện toán không gian kết hợp những công nghệ nào để tạo trải nghiệm 3D thực?,Chỉ có cảm biến nhiệt,"VR, AR, IoT và AI nhận thức không gian",Máy in 3D,Blockchain
Ứng dụng nào minh họa rõ nhất lợi ích của điện toán không gian trong y tế?,Phát nhạc trực tuyến,Tạo ảnh 2D,Phẫu thuật từ xa trong môi trường 3D,Đèn LED thông minh
"Giải thích khái niệm, thành phần cốt lõi và các ứng dụng tiêu biểu của điện toán không gian, đồng thời phân tích thách thức triển khai.","Kết hợp VR, AR, IoT, AI nhận thức không gian; cảm biến 3D, LiDAR, Edge Computing, mạng 5G/6G; ứng dụng: y tế từ xa, giáo dục ảo, sản xuất, thương mại, giải trí; thách thức: chi phí thiết bị, băng thông, bảo mật dữ liệu cá nhân",Chỉ đơn thuần là thực tế ảo cho game,Không liên quan đến IoT hay AI,"Chỉ áp dụng cho lĩnh vực quân sự, không thương mại"
Cấu hình hạ tầng mạng nào cần thiết để đảm bảo độ trễ thấp và băng thông cao cho trải nghiệm thực tế ảo (VR) mượt mà?,"5G/6G băng thông cao, độ trễ thấp",Wi-Fi 4,Ethernet 10Mbps,Bluetooth
Những xu hướng công nghệ tương lai quan trọng nào trong lĩnh vực điện toán không gian dự kiến sẽ tác động đến các ngành công nghiệp chính trong 5 năm tới?,Tương tác đa giác quan và thiết bị AR nhỏ gọn,Giảm độ phân giải hình ảnh,Chỉ dùng cho game,Loại bỏ công nghệ AI
